2026-03-23 13:26:11 | INFO     | scraper.tender247 | [Tender247] Found 8 links for 'Vendor master'
2026-03-23 13:26:46 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Vendor master'
2026-03-23 13:26:46 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Asset Master
2026-03-23 13:26:57 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Asset Master'
2026-03-23 13:26:57 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Asset Master'
2026-03-23 13:26:57 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Asset Verification
2026-03-23 13:27:08 | INFO     | scraper.tender247 | [Tender247] Found 19 links for 'Asset Verification'
2026-03-23 13:27:56 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Asset Verification'
2026-03-23 13:27:56 | INFO     | scraper.tender247 | [tender247] Scraping keyword: bill of material
2026-03-23 13:28:07 | INFO     | scraper.tender247 | [Tender247] Found 20 links for 'bill of material'
2026-03-23 13:28:59 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'bill of material'
2026-03-23 13:28:59 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Material master
2026-03-23 13:29:10 | INFO     | scraper.tender247 | [Tender247] Found 1 links for 'Material master'
2026-03-23 13:29:12 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Material master'
2026-03-23 13:29:12 | INFO     | scraper.tender247 | [tender247] Scraping keyword: data codification
2026-03-23 13:29:23 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'data codification'
2026-03-23 13:29:23 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'data codification'
2026-03-23 13:29:23 | INFO     | scraper.tender247 | [tender247] Scraping keyword: mdm
2026-03-23 13:29:32 | INFO     | scraper.tender247 | [Tender247] Found 20 links for 'mdm'
2026-03-23 13:30:23 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'mdm'
2026-03-23 13:30:25 | INFO     | scraper.tender247 | Driver closed
2026-03-23 13:47:09 | INFO     | scraper.tender247 | Driver started (headless=False)
2026-03-23 13:47:09 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Data Cataloguing
2026-03-23 13:47:22 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Data Cataloguing'
2026-03-23 13:47:22 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Data Cataloguing'
2026-03-23 13:47:22 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Material Codification
2026-03-23 13:47:33 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Material Codification'
2026-03-23 13:47:33 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Material Codification'
2026-03-23 13:47:33 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Master data management
2026-03-23 13:47:44 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Master data management'
2026-03-23 13:47:44 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Master data management'
2026-03-23 13:47:44 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Material master data cleansing
2026-03-23 13:48:10 | INFO     | scraper.tender247 | [Tender247] Found 5 links for 'Material master data cleansing'
2026-03-23 13:49:21 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Material master data cleansing'
2026-03-23 13:49:21 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Implementation of Material Data Governance
2026-03-23 13:49:32 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Implementation of Material Data Governance'
2026-03-23 13:49:32 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Implementation of Material Data Governance'
2026-03-23 13:49:32 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Material Data Governance
2026-03-23 13:49:43 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Material Data Governance'
2026-03-23 13:49:43 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Material Data Governance'
2026-03-23 13:49:43 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Data governance solution
2026-03-23 13:49:54 | INFO     | scraper.tender247 | [Tender247] Found 1 links for 'Data governance solution'
2026-03-23 13:49:56 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Data governance solution'
2026-03-23 13:49:56 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Vendor Data Governance software
2026-03-23 13:50:07 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Vendor Data Governance software'
2026-03-23 13:50:07 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Vendor Data Governance software'
2026-03-23 13:50:07 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Material master catalogue
2026-03-23 13:50:18 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Material master catalogue'
2026-03-23 13:50:18 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Material master catalogue'
2026-03-23 13:50:18 | INFO     | scraper.tender247 | [tender247] Scraping keyword: SOFTWARE TOOL FOR MASTER DATA MANAGEMENT
2026-03-23 13:50:29 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'SOFTWARE TOOL FOR MASTER DATA MANAGEMENT'
2026-03-23 13:50:29 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'SOFTWARE TOOL FOR MASTER DATA MANAGEMENT'
2026-03-23 13:50:29 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Data Enrichment
2026-03-23 13:50:40 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Data Enrichment'
2026-03-23 13:50:40 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Data Enrichment'
2026-03-23 13:50:40 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Supply & implementation of Vendor data
2026-03-23 13:50:51 | INFO     | scraper.tender247 | [Tender247] Found 1 links for 'Supply & implementation of Vendor data'
2026-03-23 13:50:53 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Supply & implementation of Vendor data'
2026-03-23 13:50:53 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Data Validation (deduplication, cleansing)
2026-03-23 13:51:04 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:51:04 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Data Validation (deduplication, cleansing)'
2026-03-23 13:51:04 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Deduplication, Cleansing and Standardization
2026-03-23 13:51:15 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Deduplication, Cleansing and Standardization'
2026-03-23 13:51:15 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Deduplication, Cleansing and Standardization'
2026-03-23 13:51:15 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Data Cleansing and Enrichment services
2026-03-23 13:51:26 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Data Cleansing and Enrichment services'
2026-03-23 13:51:26 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Data Cleansing and Enrichment services'
2026-03-23 13:51:26 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Data Standardization
2026-03-23 13:51:37 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Data Standardization'
2026-03-23 13:51:37 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Data Standardization'
2026-03-23 13:51:37 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Cataloguing and standardizing
2026-03-23 13:51:59 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Cataloguing and standardizing'
2026-03-23 13:51:59 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Cataloguing and standardizing'
2026-03-23 13:51:59 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Material codification, Cataloguing and classification
2026-03-23 13:52:10 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Material codification, Cataloguing and classification'
2026-03-23 13:52:10 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Material codification, Cataloguing and classification'
2026-03-23 13:52:10 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Service master
2026-03-23 13:52:26 | INFO     | scraper.tender247 | [Tender247] Found 20 links for 'Service master'
2026-03-23 13:53:28 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Service master'
2026-03-23 13:53:28 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Vendor master
2026-03-23 13:53:46 | INFO     | scraper.tender247 | [Tender247] Found 8 links for 'Vendor master'
2026-03-23 13:54:20 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Vendor master'
2026-03-23 13:54:20 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Asset Master
2026-03-23 13:54:31 | INFO     | scraper.tender247 | [Tender247] Found 3 links for 'Asset Master'
2026-03-23 13:54:39 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Asset Master'
2026-03-23 13:54:39 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Asset Verification
2026-03-23 13:54:51 | INFO     | scraper.tender247 | [Tender247] Found 19 links for 'Asset Verification'
2026-03-23 13:55:42 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Asset Verification'
2026-03-23 13:55:42 | INFO     | scraper.tender247 | [tender247] Scraping keyword: bill of material
2026-03-23 13:55:54 | INFO     | scraper.tender247 | [Tender247] Found 20 links for 'bill of material'
2026-03-23 13:57:51 | WARNING  | scraper.tender247 | [Tender247] page error https://www.tender247.com/tender-details/97886748?tesd=23-03-2026&searchtext=%22bill+of+material%22&search_text=%22bill+of+material%22&count=2: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 13:58:07 | WARNING  | scraper.tender247 | [Tender247] page error https://www.tender247.com/tender-details/98291281?tesd=28-03-2026&searchtext=%22bill+of+material%22&search_text=%22bill+of+material%22&count=9: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 13:58:23 | WARNING  | scraper.tender247 | [Tender247] page error https://www.tender247.com/tender-details/98450187?tesd=01-04-2026&searchtext=%22bill+of+material%22&search_text=%22bill+of+material%22&count=18: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 13:58:40 | WARNING  | scraper.tender247 | [Tender247] page error https://www.tender247.com/tender-details/98081810?tesd=25-03-2026&searchtext=%22bill+of+material%22&search_text=%22bill+of+material%22&count=4: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 13:58:56 | WARNING  | scraper.tender247 | [Tender247] page error https://www.tender247.com/tender-details/98467348?tesd=11-04-2026&searchtext=%22bill+of+material%22&search_text=%22bill+of+material%22&count=19: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 13:59:12 | WARNING  | scraper.tender247 | [Tender247] page error https://www.tender247.com/tender-details/98321841?tesd=24-03-2026&searchtext=%22bill+of+material%22&search_text=%22bill+of+material%22&count=11: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 13:59:29 | WARNING  | scraper.tender247 | [Tender247] page error https://www.tender247.com/tender-details/98727079?tesd=27-03-2026&searchtext=%22bill+of+material%22&search_text=%22bill+of+material%22&count=1: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 13:59:29 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'bill of material'
2026-03-23 13:59:29 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Material master
2026-03-23 13:59:45 | ERROR    | scraper.tender247 | [Tender247] scrape error: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 13:59:45 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Material master'
2026-03-23 13:59:45 | INFO     | scraper.tender247 | [tender247] Scraping keyword: data codification
2026-03-23 14:00:01 | ERROR    | scraper.tender247 | [Tender247] scrape error: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 14:00:01 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'data codification'
2026-03-23 14:00:01 | INFO     | scraper.tender247 | [tender247] Scraping keyword: mdm
2026-03-23 14:00:18 | ERROR    | scraper.tender247 | [Tender247] scrape error: HTTPConnectionPool(host='localhost', port=51511): Max retries exceeded with url: /session/03ad7fbb0234a941cca0e5b97c40da68/url (Caused by NewConnectionError("HTTPConnection(host='localhost', port=51511): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
2026-03-23 14:00:18 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'mdm'
2026-03-23 14:00:38 | INFO     | scraper.tender247 | Driver closed
2026-03-23 14:29:58 | INFO     | scraper.tender247 | Driver started (headless=False)
2026-03-23 14:29:58 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Data Cataloguing
2026-03-23 14:30:11 | INFO     | scraper.tender247 | [Tender247] Found 0 links for 'Data Cataloguing'
2026-03-23 14:30:11 | INFO     | scraper.tender247 | [tender247] Got 0 results for 'Data Cataloguing'
2026-03-23 14:30:11 | INFO     | scraper.tender247 | [tender247] Scraping keyword: Material Codification
