2026-03-24 12:55:40 | INFO     | scraper_service | [biddetail] done — found=0 saved=0
2026-03-24 12:55:46 | INFO     | scraper_service | Redis connected
2026-03-24 13:06:34 | INFO     | scraper_service | Redis connected
2026-03-24 13:10:07 | INFO     | scraper_service | Redis connected
2026-03-24 13:12:34 | INFO     | scraper_service | Redis connected
2026-03-24 13:13:37 | INFO     | scraper_service | Redis connected
2026-03-24 13:13:39 | INFO     | scraper_service | Redis connected
2026-03-24 13:18:09 | INFO     | scraper_service | Redis connected
2026-03-24 13:18:25 | INFO     | scraper_service | Redis connected
2026-03-24 13:19:31 | INFO     | scraper_service | Redis connected
2026-03-24 13:39:13 | INFO     | scraper_service | [tender247] completed — found=153 saved=153
2026-03-24 13:54:55 | INFO     | scraper_service | [biddetail] completed — found=378 saved=378
2026-03-24 13:55:00 | INFO     | scraper_service | Redis connected
2026-03-24 13:57:17 | INFO     | scraper_service | Redis connected
2026-03-24 14:01:58 | INFO     | scraper_service | Redis connected
2026-03-24 14:20:43 | INFO     | scraper_service | [tenderdetail] completed — found=10 saved=10
2026-03-24 14:23:03 | INFO     | scraper_service | [gem] completed — found=4 saved=4
2026-03-24 14:24:56 | INFO     | scraper_service | [tender247] completed — found=26 saved=26
2026-03-24 14:26:27 | INFO     | scraper_service | [tenderontime] completed — found=20 saved=20
2026-03-24 14:33:30 | INFO     | scraper_service | [biddetail] completed — found=131 saved=131
2026-03-24 14:33:53 | INFO     | scraper_service | Redis connected
2026-03-24 14:33:55 | INFO     | scraper_service | Redis connected
2026-03-24 14:35:14 | INFO     | scraper_service | Redis connected
2026-03-24 14:35:15 | INFO     | scraper_service | Redis connected
2026-03-24 14:35:42 | INFO     | scraper_service | Redis connected
2026-03-24 14:35:44 | INFO     | scraper_service | Redis connected
2026-03-24 14:46:58 | INFO     | scraper_service | Redis connected
2026-03-24 14:51:09 | INFO     | scraper_service | Redis connected
2026-03-24 14:59:29 | INFO     | scraper_service | Redis connected
2026-03-24 15:01:09 | INFO     | scraper_service | Redis connected
2026-03-24 15:01:11 | INFO     | scraper_service | Redis connected
2026-03-24 15:52:36 | INFO     | scraper_service | [biddetail] completed — found=0 saved=0
2026-03-24 15:52:52 | INFO     | scraper_service | [tenderdetail] completed — found=0 saved=0
2026-03-24 15:52:52 | INFO     | scraper_service | [tender247] completed — found=0 saved=0
2026-03-24 15:53:57 | INFO     | scraper_service | [gem] completed — found=0 saved=0
2026-03-24 15:56:52 | INFO     | scraper_service | [tenderontime] completed — found=0 saved=0
2026-03-24 15:57:14 | INFO     | scraper_service | Redis connected
2026-03-24 15:57:16 | INFO     | scraper_service | Redis connected
2026-03-24 16:01:16 | INFO     | scraper_service | Redis connected
2026-03-24 16:16:56 | INFO     | scraper_service | [tenderdetail] completed — found=28 saved=28
2026-03-24 16:18:51 | INFO     | scraper_service | [tender247] completed — found=65 saved=65
2026-03-24 16:25:00 | INFO     | scraper_service | [gem] completed — found=10 saved=10
2026-03-24 16:32:30 | INFO     | scraper_service | [biddetail] completed — found=193 saved=193
2026-03-24 16:40:44 | INFO     | scraper_service | [tenderontime] completed — found=92 saved=92
2026-03-25 09:50:34 | INFO     | scraper_service | Redis connected
2026-03-25 12:12:17 | INFO     | scraper_service | Redis connected
2026-03-25 15:52:07 | INFO     | scraper_service | Redis connected
2026-03-25 16:35:44 | INFO     | scraper_service | Redis connected
2026-03-25 18:13:16 | INFO     | scraper_service | Redis connected
2026-03-25 18:14:56 | INFO     | scraper_service | Redis connected
2026-03-25 18:24:57 | INFO     | scraper_service | Redis connected
2026-03-26 10:02:35 | INFO     | scraper_service | Redis connected
2026-03-26 10:14:06 | INFO     | scraper_service | Redis connected
2026-03-26 10:26:36 | INFO     | scraper_service | Redis connected
2026-03-26 10:38:28 | INFO     | scraper_service | Redis connected
2026-03-26 10:42:47 | INFO     | scraper_service | Redis connected
2026-03-26 10:46:12 | INFO     | scraper_service | Redis connected
2026-03-26 11:24:48 | INFO     | scraper_service | Redis connected
2026-03-26 11:42:26 | INFO     | scraper_service | Redis connected
2026-03-26 11:55:29 | INFO     | scraper_service | Redis connected
2026-03-26 12:02:00 | INFO     | scraper_service | Redis connected
2026-03-26 12:05:41 | INFO     | scraper_service | Redis connected
2026-03-26 12:34:01 | INFO     | scraper_service | Redis connected
2026-03-26 12:34:03 | INFO     | scraper_service | Redis connected
2026-03-26 13:36:49 | INFO     | scraper_service | Redis connected
2026-03-26 14:17:06 | ERROR    | scraper_service | [gem] failed: [WinError 5] Access is denied: 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver-win32\\chromedriver.exe' -> 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver.exe'
